Fecha,Año,Mes,CCAA,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Consumo per capita,Gasto per capita
2019-10,2019,10,Canarias,T.FRUTAS FRESCAS,15158.16,27494.8,1.81,94.07,6.86,12.45
2019-10,2019,10,Cantabria,T.FRUTAS FRESCAS,3475.17,5984.74,1.72,96.57,6.17,10.62
2019-10,2019,10,Castilla-La Mancha,T.FRUTAS FRESCAS,13183.66,21252.37,1.61,93.96,6.29,10.14
2019-10,2019,10,Castilla y León,T.FRUTAS FRESCAS,19306.29,32649.95,1.69,91.98,8.03,13.58
2019-10,2019,10,Cataluña\/Catalunya,T.FRUTAS FRESCAS,55422.44,102553.03,1.85,94.14,7.74,14.33
2019-10,2019,10,Extremadura,T.FRUTAS FRESCAS,7781.38,11982.15,1.54,96.15,6.61,10.18
2019-10,2019,10,Galicia,T.FRUTAS FRESCAS,21117.88,37756.74,1.79,94.71,7.78,13.9
2019-10,2019,10,La Rioja,T.FRUTAS FRESCAS,2724.8,4477.36,1.64,96.43,8.41,13.82
2019-10,2019,10,Comunidad de Madrid,T.FRUTAS FRESCAS,47551.4,82480.22,1.73,96.75,7.52,13.04
2019-10,2019,10,Región de Murcia,T.FRUTAS FRESCAS,8204.03,13821.24,1.68,91.79,5.7,9.6
2019-10,2019,10,Comunidad Foral de Navarra,T.FRUTAS FRESCAS,7688.06,11840.61,1.54,96.09,12.86,19.81
2019-10,2019,10,País Vasco,T.FRUTAS FRESCAS,18281.51,33280.85,1.82,96.01,8.65,15.74
2019-10,2019,10,Comunitat Valenciana,T.FRUTAS FRESCAS,35074.6,60152.44,1.71,94.43,7.22,12.38
2019-11,2019,11,Andalucía,T.HORTALIZAS FRESCAS,33991.11,61062.64,1.8,95.81,3.92,7.03
2019-11,2019,11,Aragón,T.HORTALIZAS FRESCAS,7792.65,15083.08,1.94,98.24,5.95,11.52
2019-11,2019,11,Principado de Asturias,T.HORTALIZAS FRESCAS,3803.24,7222.48,1.9,92.41,3.54,6.72
2019-11,2019,11,Illes Balears,T.HORTALIZAS FRESCAS,5631.52,12027.3,2.14,98.69,5.34,11.4
2019-11,2019,11,Canarias,T.HORTALIZAS FRESCAS,8992.98,17836.12,1.98,97.98,4.07,8.07
2019-11,2019,11,Cantabria,T.HORTALIZAS FRESCAS,3634.81,6336.3,1.74,95.01,6.45,11.24
2019-11,2019,11,Castilla-La Mancha,T.HORTALIZAS FRESCAS,7836.36,14496.49,1.85,93.07,3.74,6.92
2019-11,2019,11,Castilla y León,T.HORTALIZAS FRESCAS,10086.03,18822.71,1.87,94.22,4.2,7.83
2019-11,2019,11,Cataluña\/Catalunya,T.HORTALIZAS FRESCAS,40694.46,81454.46,2,97.33,5.69,11.38
2019-11,2019,11,Extremadura,T.HORTALIZAS FRESCAS,5391.09,10018.96,1.86,98.1,4.58,8.51
2019-11,2019,11,Galicia,T.HORTALIZAS FRESCAS,11163.37,22200.04,1.99,95.08,4.11,8.17
2019-11,2019,11,La Rioja,T.HORTALIZAS FRESCAS,1235.79,2581.08,2.09,92.71,3.81,7.97
2019-11,2019,11,Comunidad de Madrid,T.HORTALIZAS FRESCAS,27819.87,52918.43,1.9,96.73,4.4,8.36
2019-11,2019,11,Región de Murcia,T.HORTALIZAS FRESCAS,6610.76,12151.79,1.84,94.96,4.59,8.44
2019-11,2019,11,Comunidad Foral de Navarra,T.HORTALIZAS FRESCAS,2545.89,4546,1.79,94.95,4.26,7.6
2019-11,2019,11,País Vasco,T.HORTALIZAS FRESCAS,11199.89,24689.25,2.2,96.72,5.3,11.68
2019-11,2019,11,Comunitat Valenciana,T.HORTALIZAS FRESCAS,23968.52,47292.23,1.97,96.71,4.93,9.74
2019-11,2019,11,Andalucía,T.FRUTAS FRESCAS,50154.35,83526.05,1.67,94.23,5.78,9.62
2019-11,2019,11,Aragón,T.FRUTAS FRESCAS,10526.6,16880.3,1.6,96.84,8.04,12.89
2019-11,2019,11,Principado de Asturias,T.FRUTAS FRESCAS,8062.9,13598.81,1.69,97.15,7.5,12.65
2019-11,2019,11,Illes Balears,T.FRUTAS FRESCAS,8475.64,15342.54,1.81,96.88,8.03,14.54
2019-11,2019,11,Canarias,T.FRUTAS FRESCAS,13351.64,23651.17,1.77,96.74,6.04,10.71
2019-11,2019,11,Cantabria,T.FRUTAS FRESCAS,3650.42,5876.89,1.61,92.87,6.48,10.43
2019-11,2019,11,Castilla-La Mancha,T.FRUTAS FRESCAS,13990.06,21110.25,1.51,96.05,6.68,10.07
2019-11,2019,11,Castilla y León,T.FRUTAS FRESCAS,17236.64,26652.24,1.55,94,7.17,11.09
2019-11,2019,11,Cataluña\/Catalunya,T.FRUTAS FRESCAS,51837.05,91213.5,1.76,96.25,7.24,12.74
2019-11,2019,11,Extremadura,T.FRUTAS FRESCAS,8794.2,14303.5,1.63,94.54,7.47,12.15
2019-11,2019,11,Galicia,T.FRUTAS FRESCAS,21324.46,36892.28,1.73,95.66,7.85,13.58
2019-11,2019,11,La Rioja,T.FRUTAS FRESCAS,2058.29,3230.85,1.57,96.35,6.35,9.97
2019-11,2019,11,Comunidad de Madrid,T.FRUTAS FRESCAS,45697.25,76909.17,1.68,95.96,7.22,12.15
2019-11,2019,11,Región de Murcia,T.FRUTAS FRESCAS,8925.42,14358.44,1.61,95.62,6.2,9.97
2019-11,2019,11,Comunidad Foral de Navarra,T.FRUTAS FRESCAS,3589.39,6341.72,1.77,96.62,6,10.61
2019-11,2019,11,País Vasco,T.FRUTAS FRESCAS,18875.84,34310.36,1.82,95.75,8.93,16.23
2019-11,2019,11,Comunitat Valenciana,T.FRUTAS FRESCAS,31307.11,53598.3,1.71,94.07,6.45,11.04
2020-03,2020,3,Andalucía,T.HORTALIZAS FRESCAS,44651.3,81332.54,1.82,98.22,5.35,9.75
2020-03,2020,3,Aragón,T.HORTALIZAS FRESCAS,8980.43,17296.01,1.93,98.17,7.14,13.74
2020-03,2020,3,Principado de Asturias,T.HORTALIZAS FRESCAS,4917.27,9811.45,2,96.76,4.8,9.58
2020-03,2020,3,Illes Balears,T.HORTALIZAS FRESCAS,7612.08,16300.77,2.14,98.34,7.45,15.95
2020-03,2020,3,Canarias,T.HORTALIZAS FRESCAS,12563.35,24747.97,1.97,98.96,5.86,11.54
2020-03,2020,3,Cantabria,T.HORTALIZAS FRESCAS,2299.09,4516.33,1.96,98.7,4.28,8.41
2020-03,2020,3,Castilla-La Mancha,T.HORTALIZAS FRESCAS,9099.42,16879.75,1.86,96.33,4.55,8.44
2020-03,2020,3,Castilla y León,T.HORTALIZAS FRESCAS,10759.11,20107.9,1.87,95.25,4.69,8.77
2020-03,2020,3,Cataluña\/Catalunya,T.HORTALIZAS FRESCAS,49548.59,99585.42,2.01,98.12,7.17,14.42
2020-03,2020,3,Extremadura,T.HORTALIZAS FRESCAS,5363.75,10063.17,1.88,96.29,4.78,8.98
2020-03,2020,3,Galicia,T.HORTALIZAS FRESCAS,12073.16,22879.93,1.9,94.98,4.65,8.81
2020-03,2020,3,La Rioja,T.HORTALIZAS FRESCAS,1500.91,3004.94,2,93.65,4.89,9.79
2020-03,2020,3,Comunidad de Madrid,T.HORTALIZAS FRESCAS,34050.87,67030.88,1.97,97.88,5.59,11.01
2020-03,2020,3,Región de Murcia,T.HORTALIZAS FRESCAS,8861.22,16817.84,1.9,97.49,6.38,12.11
2020-03,2020,3,Comunidad Foral de Navarra,T.HORTALIZAS FRESCAS,3049.08,6032.63,1.98,96.67,5.31,10.5
2020-03,2020,3,País Vasco,T.HORTALIZAS FRESCAS,13434.45,26717.65,1.99,98.07,6.63,13.18
2020-03,2020,3,Comunitat Valenciana,T.HORTALIZAS FRESCAS,28788.83,55540.78,1.93,98.25,6.18,11.92
2020-03,2020,3,Andalucía,T.FRUTAS FRESCAS,59138.85,94907.44,1.6,96.8,7.09,11.38
2020-03,2020,3,Aragón,T.FRUTAS FRESCAS,11050.12,18215.68,1.65,97.89,8.78,14.47
2020-03,2020,3,Principado de Asturias,T.FRUTAS FRESCAS,10655.87,17360.63,1.63,98.78,10.4,16.95
2020-03,2020,3,Illes Balears,T.FRUTAS FRESCAS,9157.54,16649.6,1.82,97.79,8.96,16.29
2020-03,2020,3,Canarias,T.FRUTAS FRESCAS,18795.62,32002.43,1.7,98.64,8.76,14.92
